name,color
Afghanistan,#DD7777
Albania,#DD7777
Algeria,#DD7777
Angola,#DD7777
Armenia,#DD7777
Azerbaijan,#DD7777
Bahrain,#DD7777
Bangladesh,#DD7777
Barbados,#DD7777
Benin,#DD7777
Bhutan,#DD7777
Bolivia ,#DD7777
Bosnia and Herzegovina,#DD7777
Botswana,#DD7777
British Virgin Islands,#DD7777
Brunei Darussalam,#DD7777
Bulgaria,#DD7777
Burkina Faso,#DD7777
Burundi,#DD7777
Cambodia,#DD7777
Cameroon,#DD7777
Canada,#DD7777
Cape Verde,#DD7777
Chad,#DD7777
Chile,#DD7777
China,#DD7777
Colombia,#DD7777
Comoros,#DD7777
Congo,#DD7777
Cook Islands,#DD7777
Costa Rica,#DD7777
Cuba,#DD7777
Cyprus,#DD7777
Czech Republic,#DD7777
Democratic Republic of the Congo,#DD7777
Dominican Republic,#DD7777
Ecuador,#DD7777
Egypt,#DD7777
El Salvador,#DD7777
Ethiopia,#DD7777
Fiji,#DD7777
French Polynesia,#DD7777
Gabon,#DD7777
Gambia,#DD7777
Georgia,#DD7777
Ghana,#DD7777
Greece,#DD7777
Grenada,#DD7777
Guam,#DD7777
Guatemala,#DD7777
Haiti,#DD7777
Honduras,#DD7777
Hungary,#DD7777
India,#DD7777
Indonesia,#DD7777
Iran ,#DD7777
Iraq,#DD7777
Ireland,#DD7777
Israel,#DD7777
Italy,#DD7777
Jordan,#DD7777
Kazakhstan,#DD7777
Kenya,#DD7777
Kuwait,#DD7777
Kyrgyzstan,#DD7777
Latvia,#DD7777
Lebanon,#DD7777
Libya,#DD7777
Madagascar,#DD7777
Malawi,#DD7777
Malaysia,#DD7777
Maldives,#DD7777
Mali,#DD7777
Malta,#DD7777
Mauritius,#DD7777
Mexico,#DD7777
Mongolia,#DD7777
Morocco,#DD7777
Mozambique,#DD7777
Myanmar,#DD7777
Namibia,#DD7777
Nepal,#DD7777
New Caledonia,#DD7777
New Zealand,#DD7777
Nicaragua,#DD7777
Nigeria,#DD7777
Niue,#DD7777
Pakistan,#DD7777
Panama,#DD7777
Papua New Guinea,#DD7777
Peru,#DD7777
Philippines,#DD7777
Poland,#DD7777
Portugal,#DD7777
Republic of Korea,#DD7777
Romania,#DD7777
Russian Federation,#DD7777
Rwanda,#DD7777
Saudi Arabia,#DD7777
Senegal,#DD7777
Seychelles,#DD7777
Sierra Leone,#DD7777
Singapore,#DD7777
Slovakia,#DD7777
South Africa,#DD7777
Spain,#DD7777
Sri Lanka,#DD7777
Sudan ,#DD7777
Swaziland,#DD7777
Switzerland,#DD7777
Syrian Arab Republic,#DD7777
Tajikistan,#DD7777
Thailand,#DD7777
The former Yugoslav Republic of Macedonia,#DD7777
Tonga,#DD7777
Trinidad and Tobago,#DD7777
Tunisia,#DD7777
Turkey,#DD7777
Uganda,#DD7777
Ukraine,#DD7777
United Arab Emirates,#DD7777
United Republic of Tanzania,#DD7777
United States of America,#DD7777
Uzbekistan,#DD7777
Vanuatu,#DD7777
Venezuela ,#DD7777
Viet Nam,#DD7777
Wallis and Futuna Islands,#DD7777
Yemen,#DD7777
Zambia,#DD7777
Zimbabwe,#DD7777
