Reporter,Element,Year,Item,Afghanistan,Albania,Argentina,Armenia,Australia,Austria,Azerbaijan,Bangladesh,Belgium,Belize,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Bulgaria,Burundi,Cambodia,Cameroon,Canada,Cayman Islands,Chile,China,"China, Hong Kong SAR","China, Macao SAR",Colombia,Congo,Cook Islands,Costa Rica,Côte d'Ivoire,Croatia,Cyprus,Czech Republic,Democratic People's Republic of Korea,Democratic Republic of the Congo,Denmark,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Estonia,Ethiopia,Faroe Islands,Fiji,Finland,France,French Polynesia,Georgia,Germany,Ghana,Greece,Grenada,Guatemala,Guinea-Bissau,Guyana,Haiti,Honduras,Hungary,Iceland,India,Indonesia,Iran (Islamic Republic of),Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kyrgyzstan,Lao People's Democratic Republic,Latvia,Lebanon,Libya,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Montenegro,Morocco,Mozambique,Myanmar,Netherlands,New Caledonia,New Zealand,Nicaragua,Nigeria,Norway,Pakistan,Panama,Peru,Philippines,Poland,Portugal,Qatar,Republic of Korea,Republic of Moldova,Romania,Russian Federation,Rwanda,Saint Lucia,Saint Vincent and the Grenadines,Samoa,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Singapore,Slovakia,Slovenia,South Africa,Spain,Sri Lanka,Suriname,Sweden,Switzerland,Syrian Arab Republic,Tajikistan,Thailand,The former Yugoslav Republic of Macedonia,Trinidad and Tobago,Tunisia,Turkey,Uganda,Ukraine,United Arab Emirates,United Kingdom,United Republic of Tanzania,United States of America,Unspecified,Uruguay,Uzbekistan,Venezuela (Bolivarian Republic of),Viet Nam,Yemen,Zambia,Zimbabwe,,,
Albania,Import Quantity,2009,Fruit Fresh Nes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,19,,,,,,,,,,,,,,,,146,8.78392E-05
Algeria,Import Quantity,2009,Fruit Fresh Nes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,57,,,,,,,,,,,,,,,,,,,,,,,,,,,63,3.79032E-05
Argentina,Import Quantity,2009,Fruit Fresh Nes,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,2.40655E-05
Armenia,Import Quantity,2009,Fruit Fresh Nes,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,32,,,,,,,,,3,,,124,,,,,,,,,0,0,307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,467,0.000280965
Aruba,Import Quantity,2009,Fruit Fresh Nes,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,9,0,,,39,,,,,,74,4.45212E-05
Australia,Import Quantity,2009,Fruit Fresh Nes,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286,,,,,,,,,,978,,,,,,,,,,1839,0.001106413
Austria,Import Quantity,2009,Fruit Fresh Nes,,,,,,,,,122,,0,,,,,,,,,,,1,,,,,,,,,,,,,32,,,,31,,,,,,,266,,,"2,538.00",0,,,,,,,,"4,011.00",,2,,78,,0,466,,,0,,,,,,,,,,,,,,,,,,,,,,,559,,,,0,,0,,,,194,,,,,,,,,,,,,,40,,,,0,252,,,,,,,21,,,,"6,845.00",,,,0,,0,,,,,,,,,,15458,0.009300126
Azerbaijan,Import Quantity,2009,Fruit Fresh Nes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,,,,,,,,,,,,,,608,0.000365796
Bahamas,Import Quantity,2009,Fruit Fresh Nes,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,,,,,,,51,3.06836E-05
Bahrain,Import Quantity,2009,Fruit Fresh Nes,,,,,34,,,1,,,,,,,,,,,,,1,9,,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,,,,,,,,71,1,,,,,,,91,,1,,,,223,,,,,,,,,,,,,,,,,2,,,,,,28,,,59,,,,,,,,,,,,,619,,,,,,62,4,,,,,29,,56,,,,51,,,75,,,97,,,,,,,,,,1542,0.000927726
Barbados,Import Quantity,2009,Fruit Fresh Nes,,,,,,,,,,,,,,,,,,,,,,,,,0,,,24,,,,,,,,0,,,0,,,,,,,,,,,,,,,,1,,,,,0,0,,,0,,,,,,,,,,,,,,0,,0,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,14,,,,,,,,,0,0,,,,,,,0,,,,0,,,,1,,147,,,,0,0,,,0,,187,0.000112506
Belarus,Import Quantity,2009,Fruit Fresh Nes,,,,,,,172,,,,,,1,,,,,,,,2,,,,2,,,,,0,,,,,,,,0,820,,,,,,,0,,425,,,10,,,,,,0,,,1,0,12,,6,,,,,,0,,,8,,,,,0,,1,,,,,0,,,,,,0,,0,,,,,,1,,"1,167.00",,,,,,198,,,,,,,0,,,,,0,"1,534.00",,,,,,36,0,,,,670,,92,,,,9,,,37,,0,,,0,,5204,0.003130926
Belgium,Import Quantity,2009,Fruit Fresh Nes,,,,,,,,,,,,,5,,,16,,50,,,2,19,,,325,,,,1,,,,,7,0,,,12,5,,,,,,,970,,,100,42,,,0,,,,,,,371,4,,,437,168,,,,,25,,,,,,,2,251,,12,,,,,14,13,,105,,,"1,493.00",,,,,,2,,104,,0,8,,,,,,1,,,,,,,,,,,11,"1,979.00",,,,,,,38,,,,93,9,,,110,0,171,,,,,21,,,69,,7065,0.004250575
